TIMESTAMP: 18.400000, X: -2.888309, Y: 1.393733, Z: -2.113150, PITCH: -0.236191, YAW: -2.771362
TIMESTAMP: 18.500000, X: -2.940719, Y: 1.242762, Z: -2.047034, PITCH: -0.251371, YAW: -2.811040
TIMESTAMP: 18.600000, X: -2.996615, Y: 1.092014, Z: -1.977363, PITCH: -0.267667, YAW: -2.852808
TIMESTAMP: 18.700000, X: -3.055918, Y: 0.941504, Z: -1.904278, PITCH: -0.284374, YAW: -2.895329
TIMESTAMP: 18.800000, X: -3.118524, Y: 0.791249, Z: -1.827953, PITCH: -0.300497, YAW: -2.936770
TIMESTAMP: 18.900000, X: -3.184310, Y: 0.641274, Z: -1.748584, PITCH: -0.316379, YAW: -2.977771
TIMESTAMP: 19.000000, X: -3.253134, Y: 0.491607, Z: -1.666396, PITCH: -0.332586, YAW: -3.019365
TIMESTAMP: 19.100000, X: -3.324834, Y: 0.342285, Z: -1.581631, PITCH: -0.348959, YAW: -3.061279
TIMESTAMP: 19.200000, X: -3.399231, Y: 0.193354, Z: -1.494554, PITCH: -0.365132, YAW: -3.102822
TIMESTAMP: 19.300000, X: -3.476127, Y: 0.044873, Z: -1.405446, PITCH: -0.381143, YAW: 3.139167
TIMESTAMP: 19.400000, X: -3.555311, Y: -0.103093, Z: -1.314599, PITCH: -0.397313, YAW: 3.097653
TIMESTAMP: 19.500000, X: -3.636559, Y: -0.250460, Z: -1.222319, PITCH: -0.413708, YAW: 3.055608
TIMESTAMP: 19.600000, X: -3.719633, Y: -0.397135, Z: -1.128915, PITCH: -0.429922, YAW: 3.013968
TIMESTAMP: 19.700000, X: -3.804283, Y: -0.543007, Z: -1.034704, PITCH: -0.445739, YAW: 2.973316
TIMESTAMP: 19.800000, X: -3.890253, Y: -0.687952, Z: -0.940005, PITCH: -0.461826, YAW: 2.932009
TIMESTAMP: 19.900000, X: -3.977276, Y: -0.831828, Z: -0.845131, PITCH: -0.478804, YAW: 2.888437
TIMESTAMP: 20.000000, X: -4.065083, Y: -0.974477, Z: -0.750397, PITCH: -0.495615, YAW: 2.845267
TIMESTAMP: 20.100000, X: -4.153396, Y: -1.115726, Z: -0.656106, PITCH: -0.510156, YAW: 2.807918
TIMESTAMP: 20.200000, X: -4.241938, Y: -1.255384, Z: -0.562555, PITCH: -0.521857, YAW: 2.777869
TIMESTAMP: 20.300000, X: -4.330430, Y: -1.393244, Z: -0.470028, PITCH: -0.532456, YAW: 2.750655
TIMESTAMP: 20.400000, X: -4.418592, Y: -1.529082, Z: -0.378797, PITCH: -0.543661, YAW: 2.721880
TIMESTAMP: 20.500000, X: -4.506148, Y: -1.662662, Z: -0.289117, PITCH: -0.555386, YAW: 2.691776
TIMESTAMP: 20.600000, X: -4.592825, Y: -1.793730, Z: -0.201227, PITCH: -0.566852, YAW: 2.662335
TIMESTAMP: 20.700000, X: -4.678357, Y: -1.922022, Z: -0.115350, PITCH: -0.578047, YAW: 2.633582
TIMESTAMP: 20.800000, X: -4.762482, Y: -2.047262, Z: -0.031686, PITCH: -0.589372, YAW: 2.604498
TIMESTAMP: 20.900000, X: -4.844949, Y: -2.169162, Z: 0.049581, PITCH: -0.600848, YAW: 2.575037
TIMESTAMP: 21.000000, X: -4.925516, Y: -2.287427, Z: 0.128290, PITCH: -0.612255, YAW: 2.545747
TIMESTAMP: 21.100000, X: -5.003949, Y: -2.401756, Z: 0.204300, PITCH: -0.623570, YAW: 2.516688
TIMESTAMP: 21.200000, X: -5.080032, Y: -2.511842, Z: 0.277493, PITCH: -0.634920, YAW: 2.487541
TIMESTAMP: 21.300000, X: -5.153559, Y: -2.617374, Z: 0.347770, PITCH: -0.646343, YAW: 2.458210
TIMESTAMP: 21.400000, X: -5.224338, Y: -2.718042, Z: 0.415056, PITCH: -0.657749, YAW: 2.428922
TIMESTAMP: 21.500000, X: -5.292195, Y: -2.813537, Z: 0.479298, PITCH: -0.669071, YAW: 2.399850
TIMESTAMP: 21.600000, X: -5.356973, Y: -2.903552, Z: 0.540462, PITCH: -0.680400, YAW: 2.370763
TIMESTAMP: 21.700000, X: -5.418531, Y: -2.987786, Z: 0.598535, PITCH: -0.691858, YAW: 2.341333
TIMESTAMP: 21.800000, X: -5.476747, Y: -3.065947, Z: 0.653527, PITCH: -0.703314, YAW: 2.311897
